,
,
,
Id,Id
For what class are you taking this survey?  Please fill out a separate survey for each class you are taking from the list below.,Class
"If you had the option of choosing how much extra time you'd have to complete an assignment after requesting an extension, how much time would you choose",Preferred_EX_Length
"If you took at least one extension, why did you do so?  Check all that apply",Reason_Used
Rate the difficulty of obtaining an extension (i.e. how hard was it to request one through Canvas).  Do not respond if you did not request an extension at all..Difficulty,Process_Difficulty
"Emotionally, how comfortable did you feel requesting extensions in the manner described in the Canvas/syllabus instructions.  Do not answer if you did not request an extension..Emotional Comfortabilit",Comfortability
"Throughout the semester, how important was it to you that you complete an assignment on time by the ORIGINAL (non-extended) deadline?.Meeting Original Deadline Importance",Importance_Meeting_OG_Deadline
"On average, how much pressure did you feel to get an assignment done by the ORIGINAL (i.e. non-extended) deadline?.Pressure to Meet Original Deadline",Pressure_Meeting_OG_Deadline
"After taking an extension, how much pressure did you feel to get an assignment done before the EXTENDED deadline?  Do not answer if you did not take any extensions..Pressure felt to complete assignmen",Pressure_Felt_To_CompleteHW
"In other classes, on average, how important to you is it that you complete your assignments by the deadline?.Importance of meeting deadlines in other classes",Importance_Meeting_Deadlines_OtherClasses
"In other classes with strict deadlines, on average, how much pressure do you typically feel to get an assignment done before the posted deadline?.Pressure to meet deadlines in other classes with stric",Importance_Meeting_Deadlines_OtherClasses_STRICT
How do you feel having extensions available affected the pressure/stress level of the class overall?.Extension impact on pressure/stress of class overall,Extension_Pressure_Impact
How many one-week HOMEWORK extensions should be allowed per semester?.Preferred number of HOMEWORK extensions,Preferred_HW_EX_AMT
How many one-week READING extensions should be allowed per semester?.Preferred number of READING extensions,Preferred_Read_EX_AMT
Did assignments feel less important or less valuable to your education because of being able to take extensions?,HW_ImportanceValue
"If you had ONLY ONE extension left over for either homework or readings, why did you NOT use it? Check all that apply.  If you used zero or all of your extensions, please leave blank.",Reason_One_EX_Leftover
"If you did not take an extension AT ALL, why not?  Select all that apply.  If not applicable, please leave blank.",Reason_No_EX_Used
"In this class, on average, how many days before the deadline did you usually get more than 50% of an assignment completed?  Select one..How far in advance you got the majority of your work done",Majority_of_Homework_DoneBy
"How did having the ability to request extensions impact the overall quality of the course, if at all?.Impact of having extensions available on the overall quality of the course",Extension_Impact_onQuality
"If instead this course had strict deadlines (where late work is only accepted after the deadline solely in extenuating circumstances) and with no ability to request an extension, how would such a poli",Strict_Deadline_Effect
"Should the extension policy, as it was implemented in this class, be used in most Computer Science and/or Software Engineering courses, whenever possible?",Extensions_In_All_CSCSFE
"Should the extension policy, as it was implemented in this class, be used in most (or all) classes, including classes OUTSIDE OF Computer Science  and Software Engineering?",Extensions_In_AllCourses
What is your year classification (by credit)?,Year
What is your biological age?.Biological Age,Age
"(Optional) What is your estimated (or exact, if you know it) current GPA range? If this is your first semester, please report your high school GPA.  (note: the classes you are currently taking don't f",Est_GPA
What type of education did you receive in high school?  Select all that apply.,HS_Type
Reading Extension #1 (119091),Read_Ex1
Reading Extension #2 (119096),Read_Ex2
,ReadExtensions_Total
Quest Log Extension #1 (119093),QL_Ex1
Quest Log Extension #2 (119097),QL_Ex2
,QLExtensions_Total
Final Score,Final_Score
Final Grade,Final Grade
